Cars,Distance_in_km,Year,Fuel,Transmission,Price_in_L
 MG HECTOR SHARP 2.0 DIESEL,33306,2019,Diesel,Manual,12.86
 MG HECTOR SMART 1.5 DCT PETROL,8487,2019,Petrol,Automatic,14.33
 MG HECTOR SHARP 1.5 DCT PETROL,65163,2020,Petrol,Automatic,13.66
 MG HECTOR SMART 1.5 DCT PETROL,14172,2019,Petrol,Automatic,13.89
 MG HECTOR SHARP 1.5 DCT PETROL,50365,2020,Petrol,Automatic,13.57
